current time: 2020-02-26 14:52:04.574510971 -0500 EST m=+12.896077059, image_size: 2904768, latency: 8.370971ms, accuracy: 0.4
current time: 2020-02-26 14:52:04.587389064 -0500 EST m=+12.908955145, image_size: 2904768, latency: 4.349064ms, accuracy: 0.4
current time: 2020-02-26 14:52:04.600724552 -0500 EST m=+12.922290644, image_size: 2904768, latency: 4.044552ms, accuracy: 0.4
current time: 2020-02-26 14:52:04.614288838 -0500 EST m=+12.935854914, image_size: 2904768, latency: 3.448838ms, accuracy: 0.4
current time: 2020-02-26 14:52:04.623188689 -0500 EST m=+12.944754790, image_size: 230400, latency: 508.689µs, accuracy: 0.338983
current time: 2020-02-26 14:52:04.627514876 -0500 EST m=+12.949080950, image_size: 230400, latency: 594.876µs, accuracy: 0.338983
current time: 2020-02-26 14:52:04.874205389 -0500 EST m=+13.195771500, image_size: 230400, latency: 2.775389ms, accuracy: 0.338983
current time: 2020-02-26 14:52:05.133201658 -0500 EST m=+13.454767929, image_size: 230400, latency: 811.658µs, accuracy: 0.338983
current time: 2020-02-26 14:52:05.40773692 -0500 EST m=+13.729303010, image_size: 230400, latency: 796.92µs, accuracy: 0.338983
current time: 2020-02-26 14:52:05.676281889 -0500 EST m=+13.997847975, image_size: 230400, latency: 1.241889ms, accuracy: 0.338983
current time: 2020-02-26 14:52:05.937322675 -0500 EST m=+14.258888855, image_size: 230400, latency: 1.372675ms, accuracy: 0.338983
current time: 2020-02-26 14:52:06.21692506 -0500 EST m=+14.538491220, image_size: 230400, latency: 815.06µs, accuracy: 0.338983
current time: 2020-02-26 14:52:06.485445335 -0500 EST m=+14.807011477, image_size: 230400, latency: 935.335µs, accuracy: 0.338983
current time: 2020-02-26 14:52:06.742854703 -0500 EST m=+15.064420868, image_size: 230400, latency: 864.703µs, accuracy: 0.338983
current time: 2020-02-26 14:52:07.010684388 -0500 EST m=+15.332250596, image_size: 230400, latency: 1.654388ms, accuracy: 0.338983
current time: 2020-02-26 14:52:07.288137502 -0500 EST m=+15.609703613, image_size: 230400, latency: 737.502µs, accuracy: 0.338983
current time: 2020-02-26 14:52:07.547477607 -0500 EST m=+15.869043776, image_size: 230400, latency: 1.437607ms, accuracy: 0.338983
current time: 2020-02-26 14:52:07.817032711 -0500 EST m=+16.138598892, image_size: 230400, latency: 772.711µs, accuracy: 0.338983
current time: 2020-02-26 14:52:08.079741467 -0500 EST m=+16.401307584, image_size: 230400, latency: 531.467µs, accuracy: 0.338983
current time: 2020-02-26 14:52:08.325749946 -0500 EST m=+16.647316067, image_size: 230400, latency: 439.946µs, accuracy: 0.338983
current time: 2020-02-26 14:52:08.585049289 -0500 EST m=+16.906615423, image_size: 230400, latency: 489.289µs, accuracy: 0.338983
current time: 2020-02-26 14:52:08.849519033 -0500 EST m=+17.171085168, image_size: 230400, latency: 1.539033ms, accuracy: 0.338983
current time: 2020-02-26 14:52:09.163247778 -0500 EST m=+17.484814190, image_size: 230400, latency: 1.507778ms, accuracy: 0.338983
current time: 2020-02-26 14:52:09.456345469 -0500 EST m=+17.777911542, image_size: 230400, latency: 415.469µs, accuracy: 0.338983
current time: 2020-02-26 14:52:09.720450983 -0500 EST m=+18.042017108, image_size: 230400, latency: 850.983µs, accuracy: 0.338983
current time: 2020-02-26 14:52:09.97778902 -0500 EST m=+18.299355182, image_size: 230400, latency: 799.02µs, accuracy: 0.338983
current time: 2020-02-26 14:52:10.248383693 -0500 EST m=+18.569949798, image_size: 230400, latency: 1.513693ms, accuracy: 0.338983
current time: 2020-02-26 14:52:10.519140704 -0500 EST m=+18.840706918, image_size: 230400, latency: 710.704µs, accuracy: 0.338983
current time: 2020-02-26 14:52:10.787743723 -0500 EST m=+19.109309878, image_size: 230400, latency: 533.723µs, accuracy: 0.338983
current time: 2020-02-26 14:52:11.059139131 -0500 EST m=+19.380705252, image_size: 230400, latency: 979.131µs, accuracy: 0.338983
current time: 2020-02-26 14:52:11.320777467 -0500 EST m=+19.642343698, image_size: 230400, latency: 1.527467ms, accuracy: 0.338983
