Combo #,Median Image Size,F1 Score,Precision,Recall,Image Count,F1 Diff
0,1563763.616161616,0.39024390243902435,0.32,0.5,99,0.0
1,1561769.0333333334,0.37448559670781895,0.3181818181818182,0.455,90,-0.015758305731205402
2,1560968.6,0.3640350877192982,0.32421875,0.415,80,-0.026208814719726137
3,1556102.642857143,0.34441805225653205,0.32805429864253394,0.3625,70,-0.0458258501824923
4,1554812.1666666667,0.32051282051282054,0.32894736842105265,0.3125,60,-0.06973108192620381
5,169551.17346938775,0.3172737955346651,0.29933481152993346,0.3375,98,-0.07297010690435923
6,169362.8202247191,0.31072749691738594,0.30656934306569344,0.315,89,-0.07951640552163841
7,169321.78481012658,0.30144167758846657,0.3168044077134986,0.2875,79,-0.08880222485055778
8,168847.08695652173,0.28973277074542897,0.3311897106109325,0.2575,69,-0.10051113169359538
9,168736.2711864407,0.26567164179104474,0.3296296296296296,0.2225,59,-0.1245722606479796
10,48472.744897959186,0.3250366032210835,0.392226148409894,0.2775,98,-0.06520729921794083
11,49817.8202247191,0.31674208144796384,0.39923954372623577,0.2625,89,-0.0735018209910605
12,50185.59493670886,0.2974683544303797,0.4051724137931034,0.235,79,-0.09277554800864463
13,52765.565217391304,0.2801302931596091,0.40186915887850466,0.215,69,-0.11011360927941527
14,54057.898305084746,0.252991452991453,0.4,0.185,59,-0.13725244944757137
15,1518831.494949495,0.3953241232731137,0.3438077634011091,0.465,99,0.005080220834089377
16,1517348.9333333333,0.38331454340473503,0.3490759753593429,0.425,90,-0.006929359034289317
17,1516018.6875,0.36670687575392036,0.3543123543123543,0.38,80,-0.02353702668510399
18,1511107.7428571428,0.34974093264248707,0.3629032258064516,0.3375,70,-0.04050296979653728
19,1509795.7,0.31520223152022314,0.35646687697160884,0.2825,60,-0.0750416709188012
20,1408135.5353535353,0.335678391959799,0.280672268907563,0.4175,99,-0.054565510479225365
21,1406722.5777777778,0.3223753976670201,0.27992633517495397,0.38,90,-0.06786850477200423
22,1406183.2375,0.3080407701019252,0.2815734989648033,0.34,80,-0.08220313233709914
23,1402529.8285714285,0.29683698296836986,0.2890995260663507,0.305,70,-0.09340691947065449
24,1401621.7833333334,0.27034120734908135,0.2845303867403315,0.2575,60,-0.119902695089943
25,162371.35714285713,0.32857142857142857,0.31363636363636366,0.345,98,-0.06167247386759578
26,162216.01123595505,0.31539424280350437,0.3157894736842105,0.315,89,-0.07484965963551998
27,162181.49367088606,0.3044058744993325,0.32664756446991405,0.285,79,-0.08583802793969186
28,161772.10144927536,0.2914285714285715,0.34,0.255,69,-0.09881533101045287
29,161677.22033898305,0.2730061349693252,0.3531746031746032,0.2225,59,-0.11723776746969916
30,46441.77551020408,0.3147353361945637,0.36789297658862874,0.275,98,-0.07550856624446067
31,47750.67415730337,0.3051851851851852,0.37454545454545457,0.2575,89,-0.08505871725383912
32,48116.70886075949,0.2892690513219285,0.38271604938271603,0.2325,79,-0.10097485111709587
33,50611.52173913043,0.2797427652733119,0.3918918918918919,0.2175,69,-0.11050113716571247
34,51876.0,0.2521008403361345,0.38461538461538464,0.1875,59,-0.13814306210288985
35,1446962.4747474748,0.3128491620111732,0.35443037974683544,0.28,99,-0.07739474042785116
36,1445269.8555555556,0.3007299270072993,0.36140350877192984,0.2575,90,-0.08951397543172507
37,1444764.8125,0.2795698924731183,0.36254980079681276,0.2275,80,-0.11067400996590604
38,1440916.6285714286,0.2666666666666666,0.3813953488372093,0.205,70,-0.12357723577235774
39,1440005.4833333334,0.2512733446519525,0.3915343915343915,0.185,60,-0.13897055778707185
40,1283160.1717171718,0.3578076525336091,0.30511463844797176,0.4325,99,-0.03243624990541527
41,1282245.822222222,0.34581497797356836,0.3090551181102362,0.3925,90,-0.04442892446545599
42,1282012.75,0.33411764705882346,0.31555555555555553,0.355,80,-0.056126255380200885
43,1279400.9285714286,0.32782719186785264,0.3333333333333333,0.3225,70,-0.06241671057117171
44,1278949.5,0.2998624484181568,0.3333333333333333,0.2725,60,-0.09038145402086756
45,154735.3469387755,0.29732868757259,0.27765726681127983,0.32,98,-0.09291521486643434
46,154598.75280898876,0.2916666666666667,0.2860576923076923,0.2975,89,-0.09857723577235766
47,154570.81012658228,0.28534031413612565,0.29945054945054944,0.2725,79,-0.1049035883028987
48,154238.5072463768,0.2724719101123596,0.3108974358974359,0.2425,69,-0.11777199232666474
49,154145.7288135593,0.25225225225225223,0.3157894736842105,0.21,59,-0.13799165018677212
50,44275.448979591834,0.3169230769230769,0.412,0.2575,98,-0.07332082551594743
51,45510.97752808989,0.3084260731319555,0.42358078602620086,0.2425,89,-0.08181782930706882
52,45846.6582278481,0.29382303839732893,0.44221105527638194,0.22,79,-0.09642086404169542
53,48220.3768115942,0.2827586206896551,0.45555555555555555,0.205,69,-0.10748528174936922
54,49394.745762711864,0.259927797833935,0.4675324675324675,0.18,59,-0.13031610460508936
55,1327168.9494949495,0.1997226074895978,0.22429906542056074,0.18,99,-0.19052129494942655
56,1326128.5,0.1939218523878437,0.23024054982817868,0.1675,90,-0.19632205005118064
57,1325760.1875,0.16666666666666669,0.21153846153846154,0.1375,80,-0.22357723577235766
58,1322969.8857142858,0.17041800643086819,0.23873873873873874,0.1325,70,-0.21982589600815616
59,1322374.8166666667,0.155668358714044,0.24083769633507854,0.115,60,-0.23457554372498035
60,1199787.292929293,0.34800409416581374,0.29462738301559793,0.425,99,-0.04223980827321061
