current time: 2020-02-20 12:36:38.735284018 -0500 EST m=+55.137794751, image_size: 2904768, latency: 7.994018ms, accuracy: 0.4
current time: 2020-02-20 12:36:38.750336003 -0500 EST m=+55.152846744, image_size: 2904768, latency: 6.666003ms, accuracy: 0.4
current time: 2020-02-20 12:36:38.764051192 -0500 EST m=+55.166561957, image_size: 2904768, latency: 5.161192ms, accuracy: 0.4
current time: 2020-02-20 12:36:38.776929223 -0500 EST m=+55.179439969, image_size: 2904768, latency: 6.019223ms, accuracy: 0.4
current time: 2020-02-20 12:36:38.782843451 -0500 EST m=+55.185354201, image_size: 230400, latency: 1.083451ms, accuracy: 0.338983
current time: 2020-02-20 12:36:38.788661391 -0500 EST m=+55.191172114, image_size: 230400, latency: 551.391µs, accuracy: 0.338983
current time: 2020-02-20 12:36:38.794940544 -0500 EST m=+55.197451312, image_size: 230400, latency: 1.030544ms, accuracy: 0.338983
current time: 2020-02-20 12:36:38.802356943 -0500 EST m=+55.204867686, image_size: 230400, latency: 1.376943ms, accuracy: 0.338983
current time: 2020-02-20 12:36:38.807742733 -0500 EST m=+55.210253497, image_size: 230400, latency: 522.733µs, accuracy: 0.338983
current time: 2020-02-20 12:36:38.813680838 -0500 EST m=+55.216191563, image_size: 230400, latency: 1.020838ms, accuracy: 0.341151
current time: 2020-02-20 12:36:38.819425055 -0500 EST m=+55.221935820, image_size: 230400, latency: 735.055µs, accuracy: 0.341151
current time: 2020-02-20 12:36:38.824767378 -0500 EST m=+55.227278110, image_size: 230400, latency: 547.378µs, accuracy: 0.341151
current time: 2020-02-20 12:36:38.829904622 -0500 EST m=+55.232415371, image_size: 230400, latency: 574.622µs, accuracy: 0.341151
current time: 2020-02-20 12:36:38.83553799 -0500 EST m=+55.238048727, image_size: 230400, latency: 977.99µs, accuracy: 0.341151
current time: 2020-02-20 12:36:38.841143136 -0500 EST m=+55.243653891, image_size: 230400, latency: 523.136µs, accuracy: 0.341151
current time: 2020-02-20 12:36:38.847019742 -0500 EST m=+55.249530462, image_size: 230400, latency: 939.742µs, accuracy: 0.341151
current time: 2020-02-20 12:36:38.85786129 -0500 EST m=+55.260372027, image_size: 230400, latency: 1.04129ms, accuracy: 0.341151
current time: 2020-02-20 12:36:38.862738867 -0500 EST m=+55.265249609, image_size: 230400, latency: 518.867µs, accuracy: 0.341151
current time: 2020-02-20 12:36:38.868477092 -0500 EST m=+55.270987835, image_size: 230400, latency: 1.017092ms, accuracy: 0.341151
current time: 2020-02-20 12:36:38.873895919 -0500 EST m=+55.276406679, image_size: 230400, latency: 735.919µs, accuracy: 0.341151
